epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.99479,0.63922,3.06779,0.99438,0.02274,0.875,0.41208,0.35747,0.45023,3.08432,0.82777,0.00015,0.00015,0.00015
2,8.07314,0.57474,1.3559,0.94546,0.07189,1,0.83972,0.75905,0.45693,2.58442,0.82657,0.000309406,0.000309406,0.000309406
3,10.1413,0.54416,0.87407,0.92357,0.98809,0.48517,0.87515,0.78754,0.44904,1.81781,0.8174,0.000465595,0.000465595,0.000465595
4,12.1711,0.53043,0.69505,0.91359,0.99362,0.44566,0.995,0.9057,0.45386,1.79273,0.85076,0.000618566,0.000618566,0.000618566
5,14.125,0.53554,0.65199,0.91202,0.96536,0.69862,0.995,0.90643,0.45115,1.60358,0.85448,0.00076832,0.00076832,0.00076832
6,16.1186,0.53174,0.63419,0.91318,0.95284,0.96435,0.995,0.91251,0.43531,1.23327,0.85093,0.000914856,0.000914856,0.000914856
7,18.0402,0.53157,0.61038,0.90565,0.93104,0.93171,0.995,0.89948,0.44455,1.06753,0.86141,0.00105817,0.00105817,0.00105817
8,19.9428,0.53225,0.59171,0.90693,0.97585,1,0.995,0.89153,0.46451,0.97039,0.87274,0.00116337,0.00116337,0.00116337
9,21.8194,0.51484,0.57547,0.8974,0.94076,0.91537,0.995,0.9076,0.42236,0.88624,0.84485,0.001151,0.001151,0.001151
10,23.7969,0.50897,0.57364,0.91234,0.98764,1,0.995,0.91395,0.42868,0.59641,0.83563,0.00113863,0.00113863,0.00113863
11,25.83,0.48482,0.52662,0.89398,0.99529,1,0.995,0.91613,0.40791,0.47363,0.83585,0.00112625,0.00112625,0.00112625
12,27.8306,0.48871,0.5184,0.89772,0.99187,0.99945,0.995,0.91811,0.40032,0.51075,0.83995,0.00111388,0.00111388,0.00111388
13,29.791,0.49668,0.51174,0.90288,0.99638,1,0.995,0.89952,0.39702,0.46016,0.82825,0.0011015,0.0011015,0.0011015
14,31.7146,0.48694,0.49927,0.89171,0.9967,1,0.995,0.91064,0.42611,0.42827,0.84819,0.00108913,0.00108913,0.00108913
15,33.6033,0.47974,0.48438,0.89633,0.9971,1,0.995,0.91841,0.38953,0.39243,0.82201,0.00107675,0.00107675,0.00107675
16,35.5111,0.48686,0.49391,0.89145,0.99405,1,0.995,0.90721,0.414,0.39161,0.82882,0.00106437,0.00106437,0.00106437
17,37.4038,0.48927,0.47673,0.88628,0.99669,1,0.995,0.91569,0.40039,0.37181,0.82615,0.001052,0.001052,0.001052
18,39.3101,0.48541,0.48907,0.89573,0.98812,1,0.995,0.92698,0.39574,0.38842,0.82183,0.00103962,0.00103962,0.00103962
19,41.2952,0.47238,0.44173,0.89271,0.99727,1,0.995,0.92974,0.36069,0.33858,0.81101,0.00102725,0.00102725,0.00102725
20,43.3262,0.44683,0.42211,0.88112,0.99828,1,0.995,0.9187,0.3885,0.32971,0.81772,0.00101488,0.00101488,0.00101488
21,45.2157,0.45632,0.41745,0.87243,0.99511,1,0.995,0.92483,0.37014,0.3017,0.81358,0.0010025,0.0010025,0.0010025
22,47.1192,0.4697,0.43204,0.89136,0.99592,1,0.995,0.91749,0.39382,0.31886,0.82227,0.000990125,0.000990125,0.000990125
23,49.0766,0.48001,0.42059,0.88556,0.99711,1,0.995,0.91149,0.39054,0.30781,0.81918,0.00097775,0.00097775,0.00097775
24,50.9567,0.47391,0.40824,0.88241,0.9967,1,0.995,0.91435,0.37772,0.31826,0.82406,0.000965375,0.000965375,0.000965375
25,52.7789,0.45196,0.4105,0.88838,0.99788,1,0.995,0.9192,0.41095,0.29987,0.83592,0.000953,0.000953,0.000953
26,54.6898,0.44257,0.39509,0.87633,0.99571,1,0.995,0.91652,0.38156,0.29925,0.81393,0.000940625,0.000940625,0.000940625
27,56.6036,0.44757,0.40412,0.88616,0.99463,1,0.995,0.91491,0.39795,0.29936,0.82324,0.00092825,0.00092825,0.00092825
28,58.4851,0.44535,0.39227,0.87973,0.9979,1,0.995,0.9181,0.38894,0.29821,0.82256,0.000915875,0.000915875,0.000915875
29,60.3634,0.44429,0.37101,0.87703,0.99777,1,0.995,0.92012,0.3702,0.27884,0.81589,0.0009035,0.0009035,0.0009035
30,62.1832,0.43927,0.36682,0.8771,0.99508,1,0.995,0.92213,0.38104,0.27704,0.82215,0.000891125,0.000891125,0.000891125
31,64.0727,0.43699,0.36843,0.8792,0.99728,1,0.995,0.9178,0.38382,0.26242,0.81818,0.00087875,0.00087875,0.00087875
32,66.0407,0.45322,0.37481,0.88487,0.9978,1,0.995,0.92451,0.37812,0.27118,0.81239,0.000866375,0.000866375,0.000866375
33,68.0484,0.42081,0.35785,0.86815,0.9975,1,0.995,0.92779,0.37102,0.25395,0.81391,0.000854,0.000854,0.000854
34,70.0498,0.44192,0.36464,0.87199,0.99715,1,0.995,0.91874,0.38116,0.26995,0.81992,0.000841625,0.000841625,0.000841625
35,71.9844,0.43876,0.35287,0.87546,0.99814,1,0.995,0.92944,0.37562,0.25176,0.81708,0.00082925,0.00082925,0.00082925
36,73.901,0.43051,0.35939,0.88567,0.99697,1,0.995,0.92348,0.36157,0.28323,0.8127,0.000816875,0.000816875,0.000816875
37,75.7679,0.45018,0.36451,0.88457,0.99737,1,0.995,0.92691,0.38393,0.25842,0.81846,0.0008045,0.0008045,0.0008045
38,77.6945,0.43109,0.3507,0.87066,0.99761,1,0.995,0.92198,0.37539,0.25708,0.81792,0.000792125,0.000792125,0.000792125
39,79.5949,0.43137,0.34101,0.87145,0.99769,1,0.995,0.91391,0.38127,0.2523,0.81661,0.00077975,0.00077975,0.00077975
40,81.5461,0.42802,0.34591,0.88221,0.99618,1,0.995,0.92706,0.37553,0.25165,0.8179,0.000767375,0.000767375,0.000767375
41,83.443,0.41733,0.33294,0.86819,0.99811,1,0.995,0.93161,0.36578,0.24492,0.81764,0.000755,0.000755,0.000755
42,85.3592,0.41678,0.33664,0.87003,0.99798,1,0.995,0.93164,0.36795,0.24563,0.81571,0.000742625,0.000742625,0.000742625
43,87.3541,0.41577,0.32999,0.86312,0.99817,1,0.995,0.92972,0.36373,0.24124,0.81022,0.00073025,0.00073025,0.00073025
44,89.1784,0.4239,0.3398,0.8679,0.99581,1,0.995,0.9242,0.37335,0.25936,0.81771,0.000717875,0.000717875,0.000717875
45,91.0954,0.41567,0.32581,0.86028,0.9981,1,0.995,0.93381,0.36624,0.23024,0.81369,0.0007055,0.0007055,0.0007055
46,93.0127,0.40321,0.31451,0.86385,0.99816,1,0.995,0.93074,0.35786,0.23292,0.8114,0.000693125,0.000693125,0.000693125
47,94.8152,0.42223,0.32786,0.87357,0.99744,1,0.995,0.9318,0.36403,0.23425,0.81441,0.00068075,0.00068075,0.00068075
48,96.7373,0.41282,0.31447,0.87331,0.99726,1,0.995,0.93018,0.37638,0.232,0.81633,0.000668375,0.000668375,0.000668375
