color_code,unique_id,black_box,red_circle,green_triangle,blue_pentagon
7001_21,rotate_35,"(190, 175, 154)","(126, 23, 26)","(21, 58, 44)","(4, 18, 53)"
8002_9c,hue_11,"(251, 194, 183)","(248, 129, 131)","(173, 201, 178)","(148, 164, 205)"
6004_1A,gaussian_blur_23,"(203, 204, 190)","(151, 38, 34)","(19, 65, 35)","(4, 22, 76)"
2002_4B,gaussian_blur_68,"(198, 156, 144)","(131, 25, 23)","(22, 71, 43)","(3, 24, 90)"
1004_4C,gamma_3,"(226, 221, 252)","(222, 159, 203)","(96, 180, 172)","(58, 106, 251)"
8002_2c,gaussian_blur_23,"(175, 149, 178)","(157, 79, 92)","(116, 131, 131)","(110, 112, 150)"
1008_6C,motion_blur_40,"(222, 205, 198)","(144, 46, 70)","(44, 99, 81)","(65, 88, 160)"
8002_1A,shadow_27,"(80, 80, 82)","(69, 28, 37)","(21, 46, 41)","(18, 27, 52)"
7001_19,gaussian_blur_14,"(187, 177, 167)","(130, 23, 19)","(18, 70, 37)","(2, 22, 86)"
8002_1A,rotate_8,"(224, 229, 252)","(216, 133, 179)","(144, 199, 208)","(86, 127, 247)"
7001_21,gamma_3,"(208, 208, 200)","(154, 50, 47)","(42, 84, 57)","(39, 54, 109)"
P370_motion,blur_4,"(134, 176, 94)","(144, 17, 10)","(11, 64, 31)","(3, 23, 82)"
8002_12B,gamma_48,"(186, 149, 123)","(122, 16, 20)","(11, 63, 33)","(3, 26, 87)"
7001_19,brightness_10,"(116, 107, 100)","(70, 0, 0)","(5, 23, 4)","(0, 0, 35)"
8002_12B,gamma_21,"(191, 158, 127)","(115, 20, 21)","(12, 53, 34)","(5, 18, 68)"
7002_10,gaussian_blur_32,"(186, 172, 143)","(130, 34, 35)","(24, 59, 48)","(18, 29, 61)"
8002_2B,gaussian_blur_23,"(220, 199, 214)","(194, 93, 114)","(72, 124, 108)","(53, 73, 125)"
2001_4B,clahe_51,"(191, 153, 145)","(137, 29, 35)","(25, 82, 50)","(11, 36, 103)"
1006_6C,rotate_26,"(163, 147, 138)","(113, 29, 34)","(18, 42, 29)","(18, 19, 39)"
1001_4B,clahe_24,"(183, 167, 180)","(145, 37, 30)","(36, 86, 53)","(20, 37, 93)"
1008_6a,brightness_19,"(202, 168, 169)","(221, 158, 156)","(113, 141, 130)","(103, 112, 149)"
2002_6B,clahe_6,"(177, 145, 156)","(186, 49, 68)","(4, 112, 84)","(3, 40, 159)"
4005_7A,rotate_8,"(210, 212, 209)","(168, 59, 54)","(52, 95, 63)","(49, 65, 117)"
8002_12C,gamma_3,"(218, 166, 125)","(203, 53, 46)","(55, 127, 68)","(32, 57, 129)"
2001_6C,noise_7,"(228, 214, 240)","(212, 115, 156)","(60, 182, 159)","(57, 99, 245)"
1006_6B,motion_blur_40,"(212, 188, 184)","(160, 51, 68)","(61, 120, 100)","(87, 107, 177)"
1004_3C,brightness_1,"(251, 182, 195)","(245, 68, 82)","(57, 149, 95)","(73, 90, 140)"
2001_6B,shadow_27,"(81, 65, 58)","(80, 41, 41)","(38, 55, 46)","(14, 20, 39)"
2003_6B,rotate_26,"(189, 142, 100)","(134, 27, 25)","(16, 64, 40)","(8, 23, 80)"
1008_4B,hue_11,"(214, 177, 201)","(215, 111, 172)","(47, 91, 58)","(32, 54, 75)"
1001_4B,motion_blur_40,"(149, 129, 138)","(153, 41, 41)","(14, 52, 27)","(2, 8, 50)"
P350_clahe,6,"(171, 173, 111)","(176, 40, 41)","(32, 80, 47)","(23, 41, 95)"
2001_4B,brightness_19,"(220, 180, 168)","(147, 31, 31)","(22, 73, 47)","(13, 29, 89)"
